Customer_ID,Customer_Name,Age,Gender,Location,Segment
1,Customer_00001,33,Female,Nagpur,Premium
2,Customer_00002,33,Male,Pune,New
3,Customer_00003,30,Female,Mumbai,Premium
4,Customer_00004,38,Male,Ahmedabad,New
5,Customer_00005,37,Male,Mumbai,Returning
6,Customer_00006,27,Female,Jaipur,Premium
7,Customer_00007,42,Female,Ahmedabad,New
8,Customer_00008,42,Male,Bangalore,Returning
9,Customer_00009,43,Male,Delhi,New
10,Customer_00010,33,Female,Hyderabad,Premium
11,Customer_00011,33,Female,Mumbai,Returning
12,Customer_00012,23,Male,Ahmedabad,New
13,Customer_00013,42,Female,Delhi,Premium
14,Customer_00014,18,Female,Delhi,New
15,Customer_00015,31,Male,Delhi,Returning
16,Customer_00016,31,Male,Pune,Returning
17,Customer_00017,43,Female,Delhi,New
18,Customer_00018,34,Male,Pune,Premium
19,Customer_00019,25,Male,Nagpur,New
20,Customer_00020,20,Male,Delhi,Returning
21,Customer_00021,27,Female,Chennai,Enterprise
22,Customer_00022,36,Male,Ahmedabad,Premium
23,Customer_00023,35,Female,Delhi,Returning
24,Customer_00024,33,Female,Pune,Returning
25,Customer_00025,28,Female,Ahmedabad,New
26,Customer_00026,32,Female,Chennai,Returning
27,Customer_00027,44,Male,Nagpur,New
28,Customer_00028,23,Male,Mumbai,Premium
29,Customer_00029,35,Male,Mumbai,Returning
30,Customer_00030,51,Female,Nagpur,Returning
31,Customer_00031,40,Female,Hyderabad,New
32,Customer_00032,30,Male,Nagpur,Returning
33,Customer_00033,41,Female,Pune,Premium
34,Customer_00034,27,Other,Mumbai,New
35,Customer_00035,35,Male,Hyderabad,New
36,Customer_00036,50,Male,Ahmedabad,Premium
37,Customer_00037,53,Female,Jaipur,Returning
38,Customer_00038,18,Female,Hyderabad,Returning
39,Customer_00039,42,Male,Pune,New
40,Customer_00040,54,Female,Mumbai,New
41,Customer_00041,29,Male,Delhi,New
42,Customer_00042,37,Male,Hyderabad,Returning
43,Customer_00043,50,Female,Pune,New
44,Customer_00044,30,Male,Ahmedabad,New
45,Customer_00045,39,Male,Bangalore,Returning
46,Customer_00046,34,Female,Bangalore,Enterprise
47,Customer_00047,18,Female,Chennai,New
48,Customer_00048,38,Male,Jaipur,Premium
49,Customer_00049,33,Female,Nagpur,New
50,Customer_00050,44,Male,Ahmedabad,New
51,Customer_00051,55,Female,Jaipur,Premium
52,Customer_00052,41,Male,Pune,New
53,Customer_00053,31,Male,Jaipur,Returning
54,Customer_00054,39,Male,Nagpur,Premium
55,Customer_00055,37,Female,Bangalore,Returning
56,Customer_00056,45,Female,Mumbai,New
57,Customer_00057,20,Male,Kolkata,New
58,Customer_00058,23,Female,Chennai,New
59,Customer_00059,18,Female,Mumbai,Returning
60,Customer_00060,41,Female,Chennai,New
61,Customer_00061,34,Male,Ahmedabad,Returning
62,Customer_00062,28,Female,Ahmedabad,New
63,Customer_00063,27,Male,Delhi,Premium
64,Customer_00064,29,Female,Pune,Premium
65,Customer_00065,25,Male,Pune,New
66,Customer_00066,31,Female,Jaipur,Premium
67,Customer_00067,30,Male,Nagpur,Returning
68,Customer_00068,48,Male,Bangalore,Premium
69,Customer_00069,38,Male,Hyderabad,Enterprise
70,Customer_00070,26,Male,Delhi,Premium
71,Customer_00071,29,Male,Mumbai,Returning
72,Customer_00072,46,Male,Ahmedabad,New
73,Customer_00073,39,Male,Kolkata,New
74,Customer_00074,37,Male,Bangalore,Returning
75,Customer_00075,42,Female,Chennai,Premium
76,Customer_00076,50,Male,Delhi,Premium
77,Customer_00077,22,Female,Nagpur,Premium
78,Customer_00078,27,Male,Chennai,New
79,Customer_00079,18,Female,Jaipur,Returning
80,Customer_00080,39,Female,Pune,New
81,Customer_00081,31,Female,Mumbai,Returning
82,Customer_00082,28,Male,Jaipur,Premium
83,Customer_00083,27,Male,Pune,New
84,Customer_00084,41,Female,Jaipur,Premium
85,Customer_00085,33,Female,Kolkata,New
86,Customer_00086,29,Male,Kolkata,Premium
87,Customer_00087,47,Male,Hyderabad,Premium
88,Customer_00088,24,Female,Ahmedabad,New
89,Customer_00089,22,Male,Delhi,New
90,Customer_00090,60,Female,Ahmedabad,New
91,Customer_00091,31,Male,Nagpur,New
92,Customer_00092,29,Male,Hyderabad,Returning
93,Customer_00093,27,Female,Pune,New
94,Customer_00094,33,Male,Hyderabad,Returning
95,Customer_00095,42,Male,Jaipur,Returning
96,Customer_00096,42,Male,Bangalore,New
97,Customer_00097,40,Male,Mumbai,New
98,Customer_00098,32,Male,Jaipur,Premium
99,Customer_00099,20,Male,Kolkata,New
100,Customer_00100,37,Female,Ahmedabad,New
101,Customer_00101,50,Female,Ahmedabad,Returning
102,Customer_00102,45,Male,Hyderabad,New
103,Customer_00103,33,Female,Bangalore,New
104,Customer_00104,43,Female,Ahmedabad,New
105,Customer_00105,31,Female,Pune,New
106,Customer_00106,34,Female,Kolkata,New
107,Customer_00107,22,Male,Delhi,New
108,Customer_00108,31,Female,Nagpur,Premium
109,Customer_00109,36,Female,Ahmedabad,New
110,Customer_00110,33,Male,Pune,New
111,Customer_00111,42,Female,Kolkata,Returning
112,Customer_00112,53,Male,Mumbai,Returning
113,Customer_00113,48,Female,Ahmedabad,New
114,Customer_00114,31,Female,Nagpur,Returning
115,Customer_00115,27,Female,Hyderabad,New
116,Customer_00116,28,Male,Kolkata,New
117,Customer_00117,25,Male,Bangalore,Premium
118,Customer_00118,35,Male,Chennai,Premium
119,Customer_00119,39,Female,Chennai,Returning
120,Customer_00120,36,Male,Delhi,New
121,Customer_00121,36,Male,Delhi,New
122,Customer_00122,36,Male,Bangalore,New
123,Customer_00123,33,Male,Jaipur,Returning
124,Customer_00124,27,Male,Pune,Premium
125,Customer_00125,52,Male,Mumbai,New
126,Customer_00126,45,Male,Chennai,Premium
127,Customer_00127,25,Male,Chennai,New
128,Customer_00128,25,Female,Kolkata,Premium
129,Customer_00129,29,Female,Delhi,Premium
130,Customer_00130,35,Male,Chennai,New
131,Customer_00131,47,Female,Ahmedabad,Premium
132,Customer_00132,45,Female,Chennai,Returning
133,Customer_00133,45,Male,Pune,Returning
134,Customer_00134,45,Male,Delhi,New
135,Customer_00135,46,Female,Jaipur,Premium
136,Customer_00136,42,Male,Ahmedabad,Returning
137,Customer_00137,39,Female,Ahmedabad,Returning
138,Customer_00138,33,Male,Jaipur,Premium
139,Customer_00139,18,Male,Kolkata,Premium
140,Customer_00140,33,Female,Mumbai,Enterprise
141,Customer_00141,53,Female,Nagpur,New
142,Customer_00142,29,Female,Nagpur,New
143,Customer_00143,28,Male,Hyderabad,Premium
144,Customer_00144,45,Male,Bangalore,Enterprise
145,Customer_00145,35,Male,Bangalore,New
146,Customer_00146,30,Female,Hyderabad,New
147,Customer_00147,50,Male,Hyderabad,New
148,Customer_00148,41,Female,Chennai,Premium
149,Customer_00149,42,Female,Mumbai,Returning
150,Customer_00150,29,Male,Chennai,New
151,Customer_00151,39,Female,Bangalore,New
152,Customer_00152,38,Female,Jaipur,New
153,Customer_00153,42,Female,Jaipur,Premium
154,Customer_00154,46,Female,Bangalore,New
155,Customer_00155,46,Male,Mumbai,New
156,Customer_00156,36,Female,Mumbai,Returning
157,Customer_00157,41,Female,Mumbai,Returning
158,Customer_00158,23,Female,Jaipur,Premium
159,Customer_00159,41,Male,Chennai,New
160,Customer_00160,41,Female,Chennai,Returning
161,Customer_00161,31,Female,Hyderabad,New
162,Customer_00162,27,Female,Jaipur,New
163,Customer_00163,34,Female,Ahmedabad,Premium
164,Customer_00164,22,Female,Kolkata,New
165,Customer_00165,38,Female,Jaipur,Returning
166,Customer_00166,37,Female,Jaipur,Premium
167,Customer_00167,25,Male,Nagpur,Returning
168,Customer_00168,35,Female,Delhi,Enterprise
169,Customer_00169,45,Male,Ahmedabad,New
170,Customer_00170,45,Male,Jaipur,Returning
171,Customer_00171,45,Male,Jaipur,Premium
172,Customer_00172,33,Male,Hyderabad,New
173,Customer_00173,31,Male,Pune,Enterprise
174,Customer_00174,31,Female,Kolkata,New
175,Customer_00175,40,Female,Pune,Premium
176,Customer_00176,58,Male,Kolkata,Premium
177,Customer_00177,49,Female,Pune,New
178,Customer_00178,50,Female,Delhi,Premium
179,Customer_00179,48,Female,Hyderabad,New
180,Customer_00180,18,Male,Bangalore,New
181,Customer_00181,32,Female,Jaipur,New
182,Customer_00182,30,Male,Hyderabad,Premium
183,Customer_00183,47,Male,Nagpur,New
184,Customer_00184,51,Other,Bangalore,Returning
185,Customer_00185,28,Female,Mumbai,Returning
186,Customer_00186,35,Female,Ahmedabad,Returning
187,Customer_00187,40,Male,Jaipur,Returning
188,Customer_00188,30,Female,Bangalore,New
189,Customer_00189,28,Female,Hyderabad,Premium
190,Customer_00190,28,Male,Chennai,Premium
191,Customer_00191,43,Male,Chennai,Returning
192,Customer_00192,25,Female,Kolkata,Premium
193,Customer_00193,46,Male,Nagpur,Premium
194,Customer_00194,35,Female,Kolkata,Returning
195,Customer_00195,42,Female,Mumbai,Returning
196,Customer_00196,50,Female,Chennai,New
197,Customer_00197,28,Female,Ahmedabad,Enterprise
198,Customer_00198,26,Female,Kolkata,New
199,Customer_00199,39,Male,Jaipur,Enterprise
200,Customer_00200,24,Female,Jaipur,Returning
201,Customer_00201,27,Female,Bangalore,New
202,Customer_00202,33,Male,Kolkata,Returning
203,Customer_00203,36,Female,Bangalore,Premium
204,Customer_00204,22,Female,Bangalore,New
205,Customer_00205,31,Female,Nagpur,New
206,Customer_00206,40,Male,Mumbai,Returning
207,Customer_00207,48,Male,Hyderabad,New
208,Customer_00208,18,Female,Jaipur,New
209,Customer_00209,48,Male,Chennai,Returning
210,Customer_00210,43,Female,Chennai,New
211,Customer_00211,24,Female,Mumbai,New
212,Customer_00212,20,Male,Nagpur,Enterprise
213,Customer_00213,39,Female,Chennai,Returning
214,Customer_00214,30,Female,Delhi,Returning
215,Customer_00215,36,Male,Nagpur,New
216,Customer_00216,43,Male,Hyderabad,New
217,Customer_00217,31,Female,Mumbai,New
218,Customer_00218,36,Male,Chennai,New
219,Customer_00219,39,Female,Chennai,New
220,Customer_00220,43,Other,Chennai,New
221,Customer_00221,52,Female,Delhi,Premium
222,Customer_00222,51,Female,Pune,Returning
223,Customer_00223,37,Male,Mumbai,New
224,Customer_00224,32,Female,Pune,New
225,Customer_00225,58,Female,Nagpur,Returning
226,Customer_00226,41,Male,Delhi,New
227,Customer_00227,39,Male,Kolkata,New
228,Customer_00228,24,Female,Mumbai,Returning
229,Customer_00229,42,Male,Mumbai,New
230,Customer_00230,27,Female,Ahmedabad,Returning
231,Customer_00231,30,Female,Bangalore,New
232,Customer_00232,21,Female,Jaipur,Premium
233,Customer_00233,29,Female,Delhi,Premium
234,Customer_00234,35,Female,Kolkata,Premium
235,Customer_00235,20,Male,Kolkata,New
236,Customer_00236,26,Male,Delhi,New
237,Customer_00237,34,Female,Ahmedabad,Returning
238,Customer_00238,22,Male,Bangalore,New
239,Customer_00239,22,Female,Bangalore,New
240,Customer_00240,26,Male,Nagpur,New
241,Customer_00241,21,Female,Kolkata,New
242,Customer_00242,41,Female,Pune,Enterprise
243,Customer_00243,25,Male,Hyderabad,Premium
244,Customer_00244,42,Female,Hyderabad,Returning
245,Customer_00245,44,Male,Mumbai,New
246,Customer_00246,23,Female,Pune,Enterprise
247,Customer_00247,35,Female,Bangalore,Returning
248,Customer_00248,30,Male,Kolkata,Returning
249,Customer_00249,23,Male,Chennai,Returning
250,Customer_00250,31,Female,Chennai,Premium
251,Customer_00251,32,Female,Mumbai,Returning
252,Customer_00252,42,Female,Hyderabad,Returning
253,Customer_00253,45,Female,Chennai,New
254,Customer_00254,24,Male,Mumbai,Returning
255,Customer_00255,30,Female,Mumbai,Returning
256,Customer_00256,40,Male,Jaipur,Returning
257,Customer_00257,46,Male,Mumbai,Returning
258,Customer_00258,18,Female,Ahmedabad,New
259,Customer_00259,47,Male,Bangalore,Returning
260,Customer_00260,33,Male,Pune,Returning
261,Customer_00261,50,Female,Pune,New
262,Customer_00262,30,Male,Bangalore,New
263,Customer_00263,26,Male,Chennai,Returning
264,Customer_00264,35,Female,Hyderabad,New
265,Customer_00265,46,Male,Hyderabad,New
266,Customer_00266,35,Male,Ahmedabad,Premium
267,Customer_00267,18,Male,Jaipur,New
268,Customer_00268,41,Male,Hyderabad,New
269,Customer_00269,18,Male,Kolkata,New
270,Customer_00270,25,Male,Mumbai,New
271,Customer_00271,23,Male,Jaipur,Premium
272,Customer_00272,18,Other,Ahmedabad,Premium
273,Customer_00273,22,Male,Mumbai,New
274,Customer_00274,25,Male,Hyderabad,Returning
275,Customer_00275,28,Female,Nagpur,Enterprise
276,Customer_00276,34,Male,Nagpur,New
